name,price,url,image
30- Second Politics,25.80,https://www.tirryaq.com/product/30-second-politics,https://www.tirryaq.com/wp-content/uploads/2020/09/9781785783586-270x400.jpg
Elections 2021 le choix démocratique à l’épreuve,17.90,https://www.tirryaq.com/product/elections-2021-le-choix-democratique-a-lepreuve,https://www.tirryaq.com/wp-content/uploads/2021/05/WhatsApp-Image-2021-05-22-at-13.46.38-270x400.jpg
La cour des miracles,22.20,https://www.tirryaq.com/product/la-cour-des-miracles,https://www.tirryaq.com/wp-content/uploads/2020/12/9782290161784-270x400.jpg
La ferme des animaux,20.80,https://www.tirryaq.com/product/la-ferme-des-animaux,https://www.tirryaq.com/wp-content/uploads/2020/10/51xpsGW6GRL._SX302_BO1204203200_-270x400.jpg
Le harem politique: le prophète et les femmes,28.30,https://www.tirryaq.com/product/le-harem-politique-le-prophete-et-les-femmes,https://www.tirryaq.com/wp-content/uploads/2020/08/71S8zigIbMS-270x400.jpg
Le Magicien d’Auschwitz,49.20,https://www.tirryaq.com/product/le-magicien-dauschwitz,https://www.tirryaq.com/wp-content/uploads/2022/02/le-magicien-d-auschwitz-100-270x400.png
Le Maroc un Royaume de paradoxe en 100 questions,39.60,https://www.tirryaq.com/product/le-maroc-un-royaume-de-paradoxe-en-100-questions,https://www.tirryaq.com/wp-content/uploads/2020/12/maroc-en-100-questions.jpg
Le passé simple,25.00,https://www.tirryaq.com/product/le-passe-simple,https://www.tirryaq.com/wp-content/uploads/2020/07/41522DXGZZL._SX210_.jpg
Le Prince,17.90,https://www.tirryaq.com/product/le-prince,https://www.tirryaq.com/wp-content/uploads/2020/08/machiavel-269x400.jpeg
Le Syndrome de la dictature,32.80,https://www.tirryaq.com/product/le-syndrome-de-la-dictature,https://www.tirryaq.com/wp-content/uploads/2022/02/Le-Syndrome-de-la-dictature-270x400.jpg
Passeport diplomatique: Quarante ans au Quai d’Orsay,24.10,https://www.tirryaq.com/product/passeport-diplomatique-quarante-ans-au-quai-dorsay,https://www.tirryaq.com/wp-content/uploads/2022/02/Passeport-diplomatique-270x400.jpg
